Row Index,Predicted Category,Similarity Score (%),Analysis
130,Arts,51.04,🔴 Needs improvement
131,Arts,55.03,🔴 Needs improvement
132,Arts,46.79,🔴 Needs improvement
133,Arts,53.79,🔴 Needs improvement
134,Arts,55.24,🔴 Needs improvement
135,Arts,60.32,🟡 Good match
136,Arts,51.04,🔴 Needs improvement
137,Arts,55.03,🔴 Needs improvement
138,Arts,46.79,🔴 Needs improvement
139,Arts,53.79,🔴 Needs improvement
140,Web Designing,81.94,🟢 Excellent match
141,Web Designing,54.71,🔴 Needs improvement
142,Web Designing,81.94,🟢 Excellent match
143,Web Designing,37.04,🔴 Needs improvement
144,Web Designing,63.24,🟡 Good match
145,Web Designing,81.94,🟢 Excellent match
146,Web Designing,54.71,🔴 Needs improvement
147,Web Designing,81.94,🟢 Excellent match
148,Web Designing,37.04,🔴 Needs improvement
149,Web Designing,63.24,🟡 Good match
150,Web Designing,81.94,🟢 Excellent match
151,Web Designing,54.71,🔴 Needs improvement
152,Web Designing,81.94,🟢 Excellent match
153,Web Designing,37.04,🔴 Needs improvement
154,Web Designing,63.24,🟡 Good match
155,Web Designing,81.94,🟢 Excellent match
156,Web Designing,54.71,🔴 Needs improvement
157,Web Designing,81.94,🟢 Excellent match
158,Web Designing,37.04,🔴 Needs improvement
159,Web Designing,63.24,🟡 Good match
160,Web Designing,81.94,🟢 Excellent match
161,Web Designing,54.71,🔴 Needs improvement
162,Web Designing,81.94,🟢 Excellent match
163,Web Designing,37.04,🔴 Needs improvement
164,Web Designing,63.24,🟡 Good match
165,Web Designing,81.94,🟢 Excellent match
166,Web Designing,54.71,🔴 Needs improvement
167,Web Designing,81.94,🟢 Excellent match
168,Web Designing,37.04,🔴 Needs improvement
169,Web Designing,63.24,🟡 Good match
170,Web Designing,81.94,🟢 Excellent match
171,Web Designing,54.71,🔴 Needs improvement
172,Web Designing,81.94,🟢 Excellent match
173,Web Designing,37.04,🔴 Needs improvement
174,Web Designing,63.24,🟡 Good match
175,Web Designing,81.94,🟢 Excellent match
176,Web Designing,54.71,🔴 Needs improvement
177,Web Designing,81.94,🟢 Excellent match
178,Web Designing,37.04,🔴 Needs improvement
179,Web Designing,63.24,🟡 Good match
180,Web Designing,81.94,🟢 Excellent match
181,Web Designing,54.71,🔴 Needs improvement
182,Web Designing,81.94,🟢 Excellent match
183,Web Designing,37.04,🔴 Needs improvement
184,Web Designing,63.24,🟡 Good match
185,Mechanical Engineer,56.32,🔴 Needs improvement
186,Mechanical Engineer,57.19,🔴 Needs improvement
187,Mechanical Engineer,63.54,🟡 Good match
188,Mechanical Engineer,65.63,🟡 Good match
189,Mechanical Engineer,57.53,🔴 Needs improvement
190,Mechanical Engineer,56.32,🔴 Needs improvement
191,Mechanical Engineer,57.19,🔴 Needs improvement
192,Mechanical Engineer,63.54,🟡 Good match
193,Mechanical Engineer,65.63,🟡 Good match
194,Mechanical Engineer,57.53,🔴 Needs improvement
195,Mechanical Engineer,56.32,🔴 Needs improvement
196,Mechanical Engineer,57.19,🔴 Needs improvement
197,Mechanical Engineer,63.54,🟡 Good match
198,Mechanical Engineer,65.63,🟡 Good match
199,Mechanical Engineer,57.53,🔴 Needs improvement
200,Mechanical Engineer,56.32,🔴 Needs improvement
201,Mechanical Engineer,57.19,🔴 Needs improvement
202,Mechanical Engineer,63.54,🟡 Good match
203,Mechanical Engineer,65.63,🟡 Good match
204,Mechanical Engineer,57.53,🔴 Needs improvement
205,Mechanical Engineer,56.32,🔴 Needs improvement
206,Mechanical Engineer,57.19,🔴 Needs improvement
207,Mechanical Engineer,63.54,🟡 Good match
208,Mechanical Engineer,65.63,🟡 Good match
209,Mechanical Engineer,57.53,🔴 Needs improvement
210,Mechanical Engineer,56.32,🔴 Needs improvement
211,Mechanical Engineer,57.19,🔴 Needs improvement
212,Mechanical Engineer,63.54,🟡 Good match
213,Mechanical Engineer,65.63,🟡 Good match
214,Mechanical Engineer,57.53,🔴 Needs improvement
215,Mechanical Engineer,56.32,🔴 Needs improvement
216,Mechanical Engineer,57.19,🔴 Needs improvement
217,Mechanical Engineer,63.54,🟡 Good match
218,Mechanical Engineer,65.63,🟡 Good match
219,Mechanical Engineer,57.53,🔴 Needs improvement
220,Mechanical Engineer,56.32,🔴 Needs improvement
221,Mechanical Engineer,57.19,🔴 Needs improvement
222,Mechanical Engineer,63.54,🟡 Good match
223,Mechanical Engineer,65.63,🟡 Good match
224,Mechanical Engineer,57.53,🔴 Needs improvement
225,Sales,55.22,🔴 Needs improvement
226,Sales,65.75,🟡 Good match
227,Sales,73.38,🟡 Good match
228,Sales,61.8,🟡 Good match
229,Sales,58.62,🔴 Needs improvement
230,Sales,55.22,🔴 Needs improvement
231,Sales,65.75,🟡 Good match
232,Sales,73.38,🟡 Good match
233,Sales,61.8,🟡 Good match
234,Sales,58.62,🔴 Needs improvement
235,Sales,55.22,🔴 Needs improvement
236,Sales,65.75,🟡 Good match
237,Sales,73.38,🟡 Good match
238,Sales,61.8,🟡 Good match
239,Sales,58.62,🔴 Needs improvement
240,Sales,55.22,🔴 Needs improvement
241,Sales,65.75,🟡 Good match
242,Sales,73.38,🟡 Good match
243,Sales,61.8,🟡 Good match
244,Sales,58.62,🔴 Needs improvement
245,Sales,55.22,🔴 Needs improvement
246,Sales,65.75,🟡 Good match
247,Sales,73.38,🟡 Good match
248,Sales,61.8,🟡 Good match
249,Sales,58.62,🔴 Needs improvement
250,Sales,55.22,🔴 Needs improvement
251,Sales,65.75,🟡 Good match
252,Sales,73.38,🟡 Good match
253,Sales,61.8,🟡 Good match
254,Sales,58.62,🔴 Needs improvement
255,Sales,55.22,🔴 Needs improvement
256,Sales,65.75,🟡 Good match
257,Sales,73.38,🟡 Good match
258,Sales,61.8,🟡 Good match
259,Sales,58.62,🔴 Needs improvement
260,Sales,55.22,🔴 Needs improvement
261,Sales,65.75,🟡 Good match
262,Sales,73.38,🟡 Good match
263,Sales,61.8,🟡 Good match
264,Sales,58.62,🔴 Needs improvement
265,Health and fitness,62.28,🟡 Good match
266,Health and fitness,62.57,🟡 Good match
267,Health and fitness,59.72,🔴 Needs improvement
268,Health and fitness,64.42,🟡 Good match
269,Health and fitness,58.14,🔴 Needs improvement
270,Health and fitness,60.81,🟡 Good match
271,Health and fitness,62.28,🟡 Good match
272,Health and fitness,62.57,🟡 Good match
273,Health and fitness,59.72,🔴 Needs improvement
274,Health and fitness,64.42,🟡 Good match
275,Health and fitness,58.14,🔴 Needs improvement
276,Health and fitness,60.81,🟡 Good match
277,Health and fitness,62.28,🟡 Good match
278,Health and fitness,62.57,🟡 Good match
279,Health and fitness,59.72,🔴 Needs improvement
280,Health and fitness,64.42,🟡 Good match
281,Health and fitness,58.14,🔴 Needs improvement
282,Health and fitness,60.81,🟡 Good match
283,Health and fitness,62.28,🟡 Good match
284,Health and fitness,62.57,🟡 Good match
285,Health and fitness,59.72,🔴 Needs improvement
286,Health and fitness,64.42,🟡 Good match
287,Health and fitness,58.14,🔴 Needs improvement
288,Health and fitness,60.81,🟡 Good match
289,Health and fitness,62.28,🟡 Good match
290,Health and fitness,62.57,🟡 Good match
291,Health and fitness,59.72,🔴 Needs improvement
292,Health and fitness,64.42,🟡 Good match
293,Health and fitness,58.14,🔴 Needs improvement
294,Health and fitness,60.81,🟡 Good match
295,Civil Engineer,64.7,🟡 Good match
296,Civil Engineer,78.26,🟡 Good match
297,Civil Engineer,71.41,🟡 Good match
298,Civil Engineer,65.56,🟡 Good match
299,Civil Engineer,69.13,🟡 Good match
300,Civil Engineer,72.31,🟡 Good match
301,Civil Engineer,64.7,🟡 Good match
302,Civil Engineer,78.26,🟡 Good match
303,Civil Engineer,71.41,🟡 Good match
304,Civil Engineer,65.56,🟡 Good match
305,Civil Engineer,69.13,🟡 Good match
306,Civil Engineer,72.31,🟡 Good match
307,Civil Engineer,64.7,🟡 Good match
308,Civil Engineer,78.26,🟡 Good match
309,Civil Engineer,71.41,🟡 Good match
310,Civil Engineer,65.56,🟡 Good match
311,Civil Engineer,69.13,🟡 Good match
312,Civil Engineer,72.31,🟡 Good match
313,Civil Engineer,64.7,🟡 Good match
314,Civil Engineer,78.26,🟡 Good match
315,Civil Engineer,71.41,🟡 Good match
316,Civil Engineer,65.56,🟡 Good match
317,Civil Engineer,69.13,🟡 Good match
318,Civil Engineer,72.31,🟡 Good match
319,Java Developer,56,🔴 Needs improvement
320,Java Developer,46.02,🔴 Needs improvement
321,Java Developer,45.83,🔴 Needs improvement
322,Java Developer,53.04,🔴 Needs improvement
323,Java Developer,48.42,🔴 Needs improvement
324,Java Developer,67.55,🟡 Good match
325,Java Developer,70.2,🟡 Good match
326,Java Developer,70.2,🟡 Good match
327,Java Developer,57.43,🔴 Needs improvement
328,Java Developer,69.7,🟡 Good match
329,Java Developer,66.13,🟡 Good match
330,Java Developer,63.36,🟡 Good match
331,Java Developer,53.22,🔴 Needs improvement
332,Java Developer,47.41,🔴 Needs improvement
333,Java Developer,56,🔴 Needs improvement
334,Java Developer,46.02,🔴 Needs improvement
335,Java Developer,45.83,🔴 Needs improvement
336,Java Developer,53.04,🔴 Needs improvement
337,Java Developer,48.42,🔴 Needs improvement
338,Java Developer,67.55,🟡 Good match
339,Java Developer,70.2,🟡 Good match
340,Java Developer,70.2,🟡 Good match
341,Java Developer,57.43,🔴 Needs improvement
342,Java Developer,69.7,🟡 Good match
343,Java Developer,66.13,🟡 Good match
344,Java Developer,63.36,🟡 Good match
345,Java Developer,53.22,🔴 Needs improvement
346,Java Developer,47.41,🔴 Needs improvement
347,Java Developer,56,🔴 Needs improvement
348,Java Developer,46.02,🔴 Needs improvement
349,Java Developer,45.83,🔴 Needs improvement
350,Java Developer,53.04,🔴 Needs improvement
351,Java Developer,48.42,🔴 Needs improvement
352,Java Developer,67.55,🟡 Good match
353,Java Developer,70.2,🟡 Good match
354,Java Developer,70.2,🟡 Good match
355,Java Developer,57.43,🔴 Needs improvement
356,Java Developer,69.7,🟡 Good match
357,Java Developer,66.13,🟡 Good match
358,Java Developer,63.36,🟡 Good match
359,Java Developer,53.22,🔴 Needs improvement
360,Java Developer,47.41,🔴 Needs improvement
361,Java Developer,56,🔴 Needs improvement
362,Java Developer,46.02,🔴 Needs improvement
363,Java Developer,45.83,🔴 Needs improvement
364,Java Developer,53.04,🔴 Needs improvement
365,Java Developer,48.42,🔴 Needs improvement
366,Java Developer,67.55,🟡 Good match
367,Java Developer,70.2,🟡 Good match
368,Java Developer,70.2,🟡 Good match
369,Java Developer,57.43,🔴 Needs improvement
370,Java Developer,69.7,🟡 Good match
371,Java Developer,66.13,🟡 Good match
372,Java Developer,63.36,🟡 Good match
373,Java Developer,53.22,🔴 Needs improvement
374,Java Developer,47.41,🔴 Needs improvement
375,Java Developer,56,🔴 Needs improvement
376,Java Developer,46.02,🔴 Needs improvement
377,Java Developer,45.83,🔴 Needs improvement
378,Java Developer,53.04,🔴 Needs improvement
379,Java Developer,48.42,🔴 Needs improvement
380,Java Developer,67.55,🟡 Good match
381,Java Developer,70.2,🟡 Good match
382,Java Developer,70.2,🟡 Good match
383,Java Developer,57.43,🔴 Needs improvement
384,Java Developer,69.7,🟡 Good match
385,Java Developer,66.13,🟡 Good match
386,Java Developer,63.36,🟡 Good match
387,Java Developer,53.22,🔴 Needs improvement
388,Java Developer,47.41,🔴 Needs improvement
389,Java Developer,56,🔴 Needs improvement
390,Java Developer,46.02,🔴 Needs improvement
391,Java Developer,45.83,🔴 Needs improvement
392,Java Developer,53.04,🔴 Needs improvement
393,Java Developer,48.42,🔴 Needs improvement
394,Java Developer,67.55,🟡 Good match
395,Java Developer,70.2,🟡 Good match
396,Java Developer,70.2,🟡 Good match
397,Java Developer,57.43,🔴 Needs improvement
398,Java Developer,69.7,🟡 Good match
399,Java Developer,66.13,🟡 Good match
400,Java Developer,63.36,🟡 Good match
401,Java Developer,53.22,🔴 Needs improvement
402,Java Developer,47.41,🔴 Needs improvement
403,Business Analyst,63.09,🟡 Good match
404,Java Developer,23.79,🔴 Needs improvement
405,Business Analyst,72.7,🟡 Good match
406,Business Analyst,74.38,🟡 Good match
407,Business Analyst,64.11,🟡 Good match
408,Business Analyst,50.74,🔴 Needs improvement
409,Business Analyst,72.7,🟡 Good match
410,Business Analyst,74.38,🟡 Good match
411,Business Analyst,64.11,🟡 Good match
412,Business Analyst,50.74,🔴 Needs improvement
413,Business Analyst,72.7,🟡 Good match
414,Business Analyst,74.38,🟡 Good match
415,Business Analyst,64.11,🟡 Good match
416,Business Analyst,50.74,🔴 Needs improvement
417,Business Analyst,63.09,🟡 Good match
418,Java Developer,23.79,🔴 Needs improvement
419,Business Analyst,72.7,🟡 Good match
420,Business Analyst,74.38,🟡 Good match
421,Business Analyst,64.11,🟡 Good match
422,Business Analyst,50.74,🔴 Needs improvement
423,Business Analyst,72.7,🟡 Good match
424,Business Analyst,74.38,🟡 Good match
425,Business Analyst,64.11,🟡 Good match
426,Business Analyst,50.74,🔴 Needs improvement
427,Business Analyst,72.7,🟡 Good match
428,Business Analyst,74.38,🟡 Good match
429,Business Analyst,64.11,🟡 Good match
430,Business Analyst,50.74,🔴 Needs improvement
431,Java Developer,24.28,🔴 Needs improvement
432,SAP Developer,73.63,🟡 Good match
433,SAP Developer,65.67,🟡 Good match
434,SAP Developer,58.66,🔴 Needs improvement
435,SAP Developer,63.61,🟡 Good match
436,SAP Developer,71.37,🟡 Good match
437,Java Developer,24.28,🔴 Needs improvement
438,SAP Developer,73.63,🟡 Good match
439,SAP Developer,65.67,🟡 Good match
440,SAP Developer,58.66,🔴 Needs improvement
441,SAP Developer,63.61,🟡 Good match
442,SAP Developer,71.37,🟡 Good match
443,Java Developer,24.28,🔴 Needs improvement
444,SAP Developer,73.63,🟡 Good match
445,SAP Developer,65.67,🟡 Good match
446,SAP Developer,58.66,🔴 Needs improvement
447,SAP Developer,63.61,🟡 Good match
448,SAP Developer,71.37,🟡 Good match
449,Java Developer,24.28,🔴 Needs improvement
450,SAP Developer,73.63,🟡 Good match
451,SAP Developer,65.67,🟡 Good match
452,SAP Developer,58.66,🔴 Needs improvement
453,SAP Developer,63.61,🟡 Good match
454,SAP Developer,71.37,🟡 Good match
455,Testing,34.51,🔴 Needs improvement
456,Testing,31.79,🔴 Needs improvement
457,Java Developer,36.14,🔴 Needs improvement
458,Automation Testing,81.91,🟢 Excellent match
459,Testing,43.97,🔴 Needs improvement
460,Automation Testing,67.49,🟡 Good match
461,Java Developer,22.3,🔴 Needs improvement
462,Automation Testing,81.91,🟢 Excellent match
463,Testing,43.97,🔴 Needs improvement
464,Automation Testing,81.91,🟢 Excellent match
465,Testing,43.97,🔴 Needs improvement
466,Automation Testing,81.91,🟢 Excellent match
467,Testing,43.97,🔴 Needs improvement
468,Testing,34.51,🔴 Needs improvement
469,Testing,31.79,🔴 Needs improvement
470,Java Developer,36.14,🔴 Needs improvement
471,Automation Testing,81.91,🟢 Excellent match
472,Testing,43.97,🔴 Needs improvement
473,Automation Testing,67.49,🟡 Good match
474,Java Developer,22.3,🔴 Needs improvement
475,Automation Testing,81.91,🟢 Excellent match
476,Testing,43.97,🔴 Needs improvement
477,Automation Testing,81.91,🟢 Excellent match
478,Testing,43.97,🔴 Needs improvement
479,Automation Testing,81.91,🟢 Excellent match
480,Testing,43.97,🔴 Needs improvement
481,Electrical Engineering,74.61,🟡 Good match
482,Electrical Engineering,57.56,🔴 Needs improvement
483,Electrical Engineering,71.61,🟡 Good match
484,Electrical Engineering,59.99,🔴 Needs improvement
485,Electrical Engineering,71.57,🟡 Good match
486,Electrical Engineering,74.61,🟡 Good match
487,Electrical Engineering,57.56,🔴 Needs improvement
488,Electrical Engineering,71.61,🟡 Good match
489,Electrical Engineering,59.99,🔴 Needs improvement
490,Electrical Engineering,71.57,🟡 Good match
491,Electrical Engineering,74.61,🟡 Good match
492,Electrical Engineering,57.56,🔴 Needs improvement
493,Electrical Engineering,71.61,🟡 Good match
494,Electrical Engineering,59.99,🔴 Needs improvement
495,Electrical Engineering,71.57,🟡 Good match
496,Electrical Engineering,74.61,🟡 Good match
497,Electrical Engineering,57.56,🔴 Needs improvement
498,Electrical Engineering,71.61,🟡 Good match
499,Electrical Engineering,59.99,🔴 Needs improvement
500,Electrical Engineering,71.57,🟡 Good match
501,Electrical Engineering,74.61,🟡 Good match
502,Electrical Engineering,57.56,🔴 Needs improvement
503,Electrical Engineering,71.61,🟡 Good match
504,Electrical Engineering,59.99,🔴 Needs improvement
505,Electrical Engineering,71.57,🟡 Good match
506,Electrical Engineering,74.61,🟡 Good match
507,Electrical Engineering,57.56,🔴 Needs improvement
508,Electrical Engineering,71.61,🟡 Good match
509,Electrical Engineering,59.99,🔴 Needs improvement
510,Electrical Engineering,71.57,🟡 Good match
511,Operations Manager,80.65,🟢 Excellent match
512,Operations Manager,75.16,🟡 Good match
513,Operations Manager,77.07,🟡 Good match
514,Operations Manager,67.35,🟡 Good match
515,Operations Manager,80.65,🟢 Excellent match
516,Operations Manager,75.16,🟡 Good match
517,Operations Manager,77.07,🟡 Good match
518,Operations Manager,67.35,🟡 Good match
519,Operations Manager,80.65,🟢 Excellent match
520,Operations Manager,75.16,🟡 Good match
521,Operations Manager,77.07,🟡 Good match
522,Operations Manager,67.35,🟡 Good match
523,Operations Manager,80.65,🟢 Excellent match
524,Operations Manager,75.16,🟡 Good match
525,Operations Manager,77.07,🟡 Good match
526,Operations Manager,67.35,🟡 Good match
527,Operations Manager,80.65,🟢 Excellent match
528,Operations Manager,75.16,🟡 Good match
529,Operations Manager,77.07,🟡 Good match
530,Operations Manager,67.35,🟡 Good match
531,Operations Manager,80.65,🟢 Excellent match
532,Operations Manager,75.16,🟡 Good match
533,Operations Manager,77.07,🟡 Good match
534,Operations Manager,67.35,🟡 Good match
535,Operations Manager,80.65,🟢 Excellent match
536,Operations Manager,75.16,🟡 Good match
537,Operations Manager,77.07,🟡 Good match
538,Operations Manager,67.35,🟡 Good match
539,Operations Manager,80.65,🟢 Excellent match
540,Operations Manager,75.16,🟡 Good match
541,Operations Manager,77.07,🟡 Good match
542,Operations Manager,67.35,🟡 Good match
543,Operations Manager,80.65,🟢 Excellent match
544,Operations Manager,75.16,🟡 Good match
545,Operations Manager,77.07,🟡 Good match
546,Operations Manager,67.35,🟡 Good match
547,Operations Manager,80.65,🟢 Excellent match
548,Operations Manager,75.16,🟡 Good match
549,Operations Manager,77.07,🟡 Good match
550,Operations Manager,67.35,🟡 Good match
551,Python Developer,64.73,🟡 Good match
552,Python Developer,52.32,🔴 Needs improvement
553,Python Developer,67.58,🟡 Good match
554,Python Developer,57.12,🔴 Needs improvement
555,Python Developer,64.16,🟡 Good match
556,Python Developer,63.16,🟡 Good match
557,Python Developer,64.73,🟡 Good match
558,Python Developer,52.32,🔴 Needs improvement
559,Python Developer,67.58,🟡 Good match
560,Python Developer,57.12,🔴 Needs improvement
561,Python Developer,64.16,🟡 Good match
562,Python Developer,63.16,🟡 Good match
563,Python Developer,64.73,🟡 Good match
564,Python Developer,52.32,🔴 Needs improvement
565,Python Developer,67.58,🟡 Good match
566,Python Developer,57.12,🔴 Needs improvement
567,Python Developer,64.16,🟡 Good match
568,Python Developer,63.16,🟡 Good match
569,Python Developer,64.73,🟡 Good match
570,Python Developer,52.32,🔴 Needs improvement
571,Python Developer,67.58,🟡 Good match
572,Python Developer,57.12,🔴 Needs improvement
573,Python Developer,64.16,🟡 Good match
574,Python Developer,63.16,🟡 Good match
575,Python Developer,64.73,🟡 Good match
576,Python Developer,52.32,🔴 Needs improvement
577,Python Developer,67.58,🟡 Good match
578,Python Developer,57.12,🔴 Needs improvement
579,Python Developer,64.16,🟡 Good match
580,Python Developer,63.16,🟡 Good match
581,Python Developer,64.73,🟡 Good match
582,Python Developer,52.32,🔴 Needs improvement
583,Python Developer,67.58,🟡 Good match
584,Python Developer,57.12,🔴 Needs improvement
585,Python Developer,64.16,🟡 Good match
586,Python Developer,63.16,🟡 Good match
587,Python Developer,64.73,🟡 Good match
588,Python Developer,52.32,🔴 Needs improvement
589,Python Developer,67.58,🟡 Good match
590,Python Developer,57.12,🔴 Needs improvement
591,Python Developer,64.16,🟡 Good match
592,Python Developer,63.16,🟡 Good match
593,Python Developer,64.73,🟡 Good match
594,Python Developer,52.32,🔴 Needs improvement
595,Python Developer,67.58,🟡 Good match
596,Python Developer,57.12,🔴 Needs improvement
597,Python Developer,64.16,🟡 Good match
598,Python Developer,63.16,🟡 Good match
599,DevOps Engineer,75.15,🟡 Good match
600,DevOps Engineer,63.78,🟡 Good match
601,DevOps Engineer,69.27,🟡 Good match
602,Java Developer,27.71,🔴 Needs improvement
603,PMO,51.63,🔴 Needs improvement
604,Java Developer,18.77,🔴 Needs improvement
605,DevOps Engineer,39.76,🔴 Needs improvement
606,DevOps Engineer,75.15,🟡 Good match
607,DevOps Engineer,63.78,🟡 Good match
608,DevOps Engineer,69.27,🟡 Good match
609,DevOps Engineer,75.15,🟡 Good match
610,DevOps Engineer,63.78,🟡 Good match
611,DevOps Engineer,69.27,🟡 Good match
612,DevOps Engineer,75.15,🟡 Good match
613,DevOps Engineer,63.78,🟡 Good match
614,DevOps Engineer,69.27,🟡 Good match
615,DevOps Engineer,75.15,🟡 Good match
616,DevOps Engineer,63.78,🟡 Good match
617,DevOps Engineer,69.27,🟡 Good match
618,DevOps Engineer,75.15,🟡 Good match
619,DevOps Engineer,63.78,🟡 Good match
620,DevOps Engineer,69.27,🟡 Good match
621,DevOps Engineer,75.15,🟡 Good match
622,DevOps Engineer,63.78,🟡 Good match
623,DevOps Engineer,69.27,🟡 Good match
624,DevOps Engineer,75.15,🟡 Good match
625,DevOps Engineer,63.78,🟡 Good match
626,DevOps Engineer,69.27,🟡 Good match
627,DevOps Engineer,75.15,🟡 Good match
628,DevOps Engineer,63.78,🟡 Good match
629,DevOps Engineer,69.27,🟡 Good match
630,DevOps Engineer,75.15,🟡 Good match
631,DevOps Engineer,63.78,🟡 Good match
632,DevOps Engineer,69.27,🟡 Good match
633,DevOps Engineer,75.15,🟡 Good match
634,DevOps Engineer,63.78,🟡 Good match
635,DevOps Engineer,69.27,🟡 Good match
636,DevOps Engineer,75.15,🟡 Good match
637,DevOps Engineer,63.78,🟡 Good match
638,DevOps Engineer,69.27,🟡 Good match
639,DevOps Engineer,75.15,🟡 Good match
640,DevOps Engineer,63.78,🟡 Good match
641,DevOps Engineer,69.27,🟡 Good match
642,DevOps Engineer,75.15,🟡 Good match
643,DevOps Engineer,63.78,🟡 Good match
